index,Image Name,Caption Number,Urdu Caption
0,1003163366_44323f5815.jpg,0,ایک شخص بینچ پر لیٹا ہے جبکہ اس کا کتا اس کے پاس بیٹھا ہے۔
1,1003163366_44323f5815.jpg,1,ایک شخص اس بینچ پر لیٹتا ہے جس پر ایک سفید کتا بھی بندھا ہوا ہے۔
2,1003163366_44323f5815.jpg,2,ایک آدمی باہر بینچ پر سو رہا ہے جس کے پاس ایک سفید اور سیاہ کتے تھے۔
3,1003163366_44323f5815.jpg,3,ایک قمیض کے بغیر  شخص اپنے کتے کے ساتھ پارک بینچ پر پڑا ہے۔
4,1003163366_44323f5815.jpg,4,ایک آدمی بینچ پر زمین پر بیٹھے  کتے کا پٹا پکڑے ہوے لیٹا ھوا ہے۔
5,1007129816_e794419615.jpg,0,نارنگی رنگ کی ٹوپی پہنے ہوے ایک آدمی کسی کو گھورتے ہوے
6,1007129816_e794419615.jpg,1,ایک شخص نارنگی رنگ کی ٹوپی اور عینک پہنے ہوے
7,1007129816_e794419615.jpg,2,ایک عینک اور گیجس والا شخص تیز رنگ کی ٹوپی پہنے ہوے
8,1007129816_e794419615.jpg,3,ایک عینک والے شخص نے بیئر کین سے بنی ٹوپی پہن رکھی ہے
9,1007129816_e794419615.jpg,4,چھیدے ہوے کان والے آدمی نے عینک اور نارنگی رنگ کی ٹوپی پہنی ہوئی ہے۔
10,1015118661_980735411b.jpg,0,ایک لڑکا شہر میں پتھریلی دیوار کے سامنے مسکرا رہا ہے۔
11,1015118661_980735411b.jpg,1,ایک چھوٹا لڑکا سڑک پر کھڑا ہے جبکہ ایک آدمی پتھر کی دیوار پر کام کر رہا ہے۔
12,1015118661_980735411b.jpg,2,ایک نوجوان لڑکا سڑک کے پار دوڑ رہا ہے۔
13,1015118661_980735411b.jpg,3,ایک چھوٹا بچہ ایک پتھر کی ہموار سڑک پر چل رہا ہے جبکہ اس کے پیچھے دھاتی کھمبا اور  ایک آدمی ہے۔
14,1015118661_980735411b.jpg,4,سفید قمیض اور نیلی جینز پہنے ہوئے چٹان کی دیوار کے سامنے کھڑا لڑکا جسکے پیچھے ایک آدمی ہے
15,101669240_b2d3e7f17b.jpg,0,ایک ٹوپی والا شخص دوسرے نیلی ٹوپی والے سکیئر کو تصاویر دکھاتے ہوے
16,101669240_b2d3e7f17b.jpg,1,ایک آدمی برف میں پینٹنگز دکھاتے ہوئے دوسرے آدمی کے پاس سے گذر رہا ہے ۔
17,101669240_b2d3e7f17b.jpg,2,برف پر رکھی ہوئی فریم تصویروں کو دیکھتے ہوئے سکی پہنے ہوئے ایک شخص۔
18,101669240_b2d3e7f17b.jpg,3,ایک اسکیئر درختوں کے ساتھ برف میں فریم شدہ تصویروں کو دیکھتے ہوے
19,101669240_b2d3e7f17b.jpg,4,سکی پر ایک آدمی برف پر فروخت کے لئے رکھے ہوے کلا کے نمونے کو دیکھتے ہوے
20,1016887272_03199f49c4.jpg,0,پہاڑ پر چڑھتے ہوے شخص کی ایک تصویر
21,1016887272_03199f49c4.jpg,1,لوگوں کا ایک گروپ چٹان کی دیوار پر چڑھ رہا ہے
22,1016887272_03199f49c4.jpg,2,لوگوں کا ایک گروپ چٹان پر چڑھ رہا ہے جبکہ ایک شخص رسی کو ٹھیک کر رہا ہے
23,1016887272_03199f49c4.jpg,3,سات کوه پیما ایک چٹان پر چڑھ رہے ہیں جبکہ ایک آدمی رسی کو تھامے کھڑا ہے۔
24,1016887272_03199f49c4.jpg,4,ایک قطار میں متعدد کوه پیما چٹان پر چڑھ رہے ہیں جبکہ سرخ رنگ کی گھڑی والا شخص رسی کو تھامے ہوئے ہے۔
25,1022454428_b6b660a67b.jpg,0,ایک جوڑا اور ایک نوزائیده جس کو لڑکے نے تھما ہوا ہے ایک تالاب کے پاس بیٹھے ہوے  جس کے  پاس ایک ٹہلنے والی کرسی ہے
26,1022454428_b6b660a67b.jpg,1,ایک جوڑا ایک  بچے اور گھومنے والی کرسی کے ساتھ گھاس پر بیٹھتے ہیں۔
27,1022454428_b6b660a67b.jpg,2,ایک جوڑا جو اپنے نومولود بچے کے ساتھ ایک جھیل کے سامنے ایک درخت کے نیچے بیٹھے ہوے ہیں
28,1022454428_b6b660a67b.jpg,3,ایک مرد اور ایک عورت پانی کے پاس ایک نوزائیده بچے کی دیکھ بھال کرتے ہوے
29,1022454428_b6b660a67b.jpg,4,ایک بچے والا جوڑا گھومنے والی کرسی کے پاس کھلی فزا میں بیٹھے ہے
30,102351840_323e3de834.jpg,0,ایک آدمی برف میں سوراخ کر رہا ہے
31,102351840_323e3de834.jpg,1,ایک شخص تالاب کی جمی ہوئی برف میں سوراخ کررہا ہے۔
32,102351840_323e3de834.jpg,2,ایک شخص برف میں ایک سوراخ کر رہا ہے
33,102351840_323e3de834.jpg,3,ایک جمی ہوئی جھیل پر کھڑا ہوا ایک شخص۔
34,102351840_323e3de834.jpg,4,دو شخص برف میں مچھلی پکڑ رہے ہیں
35,102455176_5f8ead62d5.jpg,0,ایک آدمی اوزاروں کی مدد سے برف پر چڑھ رہا ہے
36,102455176_5f8ead62d5.jpg,1,نیلی جیکٹ اور کالی پتلون میں ایک آدمی برف کی جمی دیوار پر چڑھ رہا ہے
37,102455176_5f8ead62d5.jpg,2,ایک برف کا کوه پیما ایک منجمد آبشار پر چڑھ رہا ہے
38,102455176_5f8ead62d5.jpg,3,نیلے اور لال رنگ میں ملبوس ایک آدمی دو چھڑیوں کی مدد سے برف پر کوه پیمائی کرتے ہوے
39,102455176_5f8ead62d5.jpg,4,برف کی دیوار پر چڑھتا ہوا کوه پیما
40,1028205764_7e8df9a2ea.jpg,0,ایک مرد اور ایک بچہ پانی پر پیلے رنگ کی کیاک میں ہیں۔
41,1028205764_7e8df9a2ea.jpg,1,ایک آدمی اور نیلی زندگی کی جیکٹ میں ایک چھوٹا لڑکا پیلے رنگ کی کینو چلا رہے ہیں
42,1028205764_7e8df9a2ea.jpg,2,ایک آدمی اور ایک لڑکا تھمے پانی میں کیاک چلا رہے ہیں
43,1028205764_7e8df9a2ea.jpg,3,ایک آدمی اور ایک جوان لڑکا پیلے رنگ کی کیاک چلا رہے ہیں
44,1028205764_7e8df9a2ea.jpg,4,آدمی اور بچا پیلی کیاک میں
45,103195344_5d2dc613a3.jpg,0,ایک سیاه کپڑوں والا آدمی ایک شیشے کی عمارت کے سامنے جدید آرٹ کے ڈھانچے کے پاس بیٹھا ہوا ہے۔
46,103195344_5d2dc613a3.jpg,1,دفتر کی عمارت کے باہر مجسمے کے پاس ایک شخص بیٹھ کر اخبار پڑھ رہاہے
47,103195344_5d2dc613a3.jpg,2,ایک شخص ایک بڑے مجسمے کے پاس بیٹھا ہوا ہے
48,103195344_5d2dc613a3.jpg,3,ایک شخص ایک عمارت کے سامنے دھاتی مجسمے کے پاس بیٹھا ہوا
